entrez_id	pathway_id	gene_symbol	ensembl_id	pathway_name
103988	path:mmu00010	Gck	ENSMUSG00000041798	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
106557	path:mmu00010	Ldhal6b	ENSMUSG00000101959	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
110695	path:mmu00010	Aldh7a1	ENSMUSG00000053644	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11522	path:mmu00010	Adh1	ENSMUSG00000074207	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11529	path:mmu00010	Adh7	ENSMUSG00000055301	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11532	path:mmu00010	Adh5	ENSMUSG00000028138	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
115487111	path:mmu00010	Gm29667	NA	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11669	path:mmu00010	Aldh2	ENSMUSG00000029455	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11670	path:mmu00010	Aldh3a1	ENSMUSG00000019102	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11671	path:mmu00010	Aldh3a2	ENSMUSG00000010025	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11674	path:mmu00010	Aldoa	ENSMUSG00000030695	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
11676	path:mmu00010	Aldoc	ENSMUSG00000017390	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
12183	path:mmu00010	Bpgm	ENSMUSG00000038871	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
13382	path:mmu00010	Dld	ENSMUSG00000020664	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
13806	path:mmu00010	Eno1	ENSMUSG00000063524	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
13807	path:mmu00010	Eno2	ENSMUSG00000004267	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
13808	path:mmu00010	Eno3	ENSMUSG00000060600	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14120	path:mmu00010	Fbp2	ENSMUSG00000021456	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14121	path:mmu00010	Fbp1	ENSMUSG00000069805	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14377	path:mmu00010	G6pc	ENSMUSG00000078650	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14378	path:mmu00010	G6pc2	ENSMUSG00000005232	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14433	path:mmu00010	Gapdh	ENSMUSG00000057666	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14447	path:mmu00010	Gapdhs	ENSMUSG00000061099	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
14751	path:mmu00010	Gpi1	ENSMUSG00000036427	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
15275	path:mmu00010	Hk1	ENSMUSG00000037012	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
15277	path:mmu00010	Hk2	ENSMUSG00000000628	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
16828	path:mmu00010	Ldha	ENSMUSG00000063229	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
16832	path:mmu00010	Ldhb	ENSMUSG00000030246	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
16833	path:mmu00010	Ldhc	ENSMUSG00000030851	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
17330	path:mmu00010	Minpp1	ENSMUSG00000024896	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18534	path:mmu00010	Pck1	ENSMUSG00000027513	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18597	path:mmu00010	Pdha1	ENSMUSG00000031299	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18598	path:mmu00010	Pdha2	ENSMUSG00000047674	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18641	path:mmu00010	Pfkl	ENSMUSG00000020277	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18642	path:mmu00010	Pfkm	ENSMUSG00000033065	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18648	path:mmu00010	Pgam1	ENSMUSG00000011752	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18655	path:mmu00010	Pgk1	ENSMUSG00000062070	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18663	path:mmu00010	Pgk2	ENSMUSG00000031233	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
18746	path:mmu00010	Pkm	ENSMUSG00000032294	Glycolysis / Gluconeogenesis - Mus musculus (house mouse)
