,entrez_id,refseq_ids,official_symbol,official_full_name,taxname
0,2157,"['NM_000132', 'NM_019863']",F8,coagulation factor VIII,Homo sapiens
1,5264,"['NM_001037537', 'NM_001323080', 'NM_001323082', 'NM_001323083', 'NM_001323084', 'NM_006214']",PHYH,phytanoyl-CoA 2-hydroxylase,Homo sapiens
2,2158,"['NM_000133', 'NM_001313913']",F9,coagulation factor IX,Homo sapiens
3,3309,['NM_005347'],HSPA5,heat shock protein family A (Hsp70) member 5,Homo sapiens
4,28912,[],IGKV3-20,immunoglobulin kappa variable 3-20,Homo sapiens
5,811,['NM_004343'],CALR,calreticulin,Homo sapiens
6,2159,"['NM_000504', 'NM_001312674', 'NM_001312675']",F10,coagulation factor X,Homo sapiens
7,821,"['NM_001024649', 'NM_001363993', 'NM_001363994', 'NM_001363995', 'NM_001363996', 'NM_001363997', 'NM_001363998', 'NM_001363999', 'NM_001364000', 'NM_001364001', 'NM_001746']",CANX,calnexin,Homo sapiens
8,5627,"['NM_000313', 'NM_001314077']",PROS1,protein S,Homo sapiens
9,5624,"['NM_000312', 'NM_001375602', 'NM_001375603', 'NM_001375604', 'NM_001375605', 'NM_001375606', 'NM_001375607', 'NM_001375608', 'NM_001375609', 'NM_001375610', 'NM_001375611', 'NM_001375613']",PROC,"protein C, inactivator of coagulation factors Va and VIIIa",Homo sapiens
10,2147,['NM_000506'],F2,"coagulation factor II, thrombin",Homo sapiens
11,5141,"['NM_001111307', 'NM_001111308', 'NM_001111309', 'NM_001243121', 'NM_006202']",PDE4A,phosphodiesterase 4A,Homo sapiens
12,4067,"['NM_001111097', 'NM_002350']",LYN,"LYN proto-oncogene, Src family tyrosine kinase",Homo sapiens
13,7316,['NM_021009'],UBC,ubiquitin C,Homo sapiens
14,5207,"['NM_001271804', 'NM_001271805', 'NM_002625']",PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",Homo sapiens
15,5045,"['NM_001289823', 'NM_001289824', 'NM_001382619', 'NM_001382620', 'NM_001382621', 'NM_001382622', 'NM_002569']",FURIN,"furin, paired basic amino acid cleaving enzyme",Homo sapiens
16,368,"['NM_001079528', 'NM_001171', 'NM_001351800']",ABCC6,ATP binding cassette subfamily C member 6,Homo sapiens
17,4323,['NM_004995'],MMP14,matrix metallopeptidase 14,Homo sapiens
18,2316,"['NM_001110556', 'NM_001456']",FLNA,filamin A,Homo sapiens
19,23621,"['NM_001207048', 'NM_001207049', 'NM_012104', 'NM_138971', 'NM_138972', 'NM_138973']",BACE1,beta-secretase 1,Homo sapiens
20,51172,['NM_016256'],NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Homo sapiens
21,3359,"['NM_000869', 'NM_001161772', 'NM_213621']",HTR3A,5-hydroxytryptamine receptor 3A,Homo sapiens
22,5104,['NM_000624'],SERPINA5,serpin family A member 5,Homo sapiens
23,6187,['NM_002952'],RPS2,ribosomal protein S2,Homo sapiens
24,5566,"['NM_001304349', 'NM_002730', 'NM_207518']",PRKACA,protein kinase cAMP-activated catalytic subunit alpha,Homo sapiens
25,7412,"['NM_001078', 'NM_001199834', 'NM_080682']",VCAM1,vascular cell adhesion molecule 1,Homo sapiens
26,3845,"['NM_001369786', 'NM_001369787', 'NM_004985', 'NM_033360']",KRAS,"KRAS proto-oncogene, GTPase",Homo sapiens
27,3008,['NM_005321'],H1-4,"H1.4 linker histone, cluster member",Homo sapiens
28,7083,"['NM_001346663', 'NM_001363848', 'NM_003258']",TK1,thymidine kinase 1,Homo sapiens
29,6134,"['NM_001256577', 'NM_001256580', 'NM_001303624', 'NM_001303625', 'NM_001303626', 'NM_006013']",RPL10,ribosomal protein L10,Homo sapiens
30,1445,"['NM_001127190', 'NM_001354988', 'NM_001387089', 'NM_001387090', 'NM_001387091', 'NM_001387092', 'NM_001387093', 'NM_001387094', 'NM_001387095', 'NM_001387096', 'NM_001387097', 'NM_001387098', 'NM_004383']",CSK,C-terminal Src kinase,Homo sapiens
31,6195,"['NM_001006665', 'NM_001330441', 'NM_002953']",RPS6KA1,ribosomal protein S6 kinase A1,Homo sapiens
32,6124,['NM_000968'],RPL4,ribosomal protein L4,Homo sapiens
33,2103,"['NM_001379180', 'NM_004452']",ESRRB,estrogen related receptor beta,Homo sapiens
34,7534,"['NM_001135699', 'NM_001135700', 'NM_001135701', 'NM_001135702', 'NM_003406', 'NM_145690']",YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,Homo sapiens
35,3383,['NM_000201'],ICAM1,intercellular adhesion molecule 1,Homo sapiens
